"","ID","linear.f0","linear.f0.se","linear.f0.p","linear.C0","linear.AIC","linear.AICc","linear.RSE","linear.r","linear.diagnostics"
"68","2021-03-18_BR02_C1",5.46701116928065,3.43398112466544,0.112645970041923,1.55569379471306,-1470.46943526685,-1470.37226927495,0.0128281579321468,0.100381392902205,""
"69","2021-03-18_BR02_D1",-1.74384226504735,0.138885937400653,8.53800979921529e-30,1.55531544240992,-3776.17146402331,-3776.09784439141,0.000787645978874335,-0.569752972288704,""
"70","2021-03-18_BR02_E1",-0.0650094348275168,0.129138777097853,0.615018784198271,1.55300411119528,-3794.37846987315,-3794.30416646758,0.000726808669970907,-0.0279131459007454,""
"71","2021-03-18_BR02_R1",-10.2525554706512,0.358683302047266,1.96456092954851e-92,1.57093488533644,-3569.25903825327,-3569.18803233611,0.00130312132710506,-0.840324972200328,""
"72","2021-03-18_BR02_R2",-27859045.5277463,16042635.3035526,0.0834207407159754,11001.9422016812,7879.91215840427,7879.98715840427,45947.5800618789,-0.0963248596826779,""
"73","2021-03-18_BR02_R3",-13.401595753317,0.29821555560207,1.15059106823542e-143,1.56049651378017,-3771.61782403805,-3771.54553488142,0.000878399949231,-0.926329375411787,""
"74","2021-03-18_BR02_R4",-5.53904416493482,0.227387879595519,1.49150860149792e-75,1.55500029590885,-3826.75600048397,-3826.68238085206,0.000729533644218351,-0.80250443352467,""
"75","2021-03-18_BR02_R5",-7.94341612911782,0.248977071296303,1.96465345780842e-102,1.55322388440388,-3786.31621146176,-3786.24236530791,0.00076221015912026,-0.869974338921162,""
"76","2021-03-18_VI01_A1",-1.56764280151763,0.319825053008283,1.49368095826106e-06,1.58179438121964,-3243.60001525202,-3243.52684452031,0.00181822722904973,-0.260505842077829,""
"77","2021-03-18_VI01_B1",-1.9714461381145,0.14888994404106,2.4450781305452e-32,1.54744337212042,-3721.26060168324,-3721.18675552939,0.000841420070780496,-0.590782988990519,""
"78","2021-03-18_VI01_C1",-26.6353876597319,6.86717616181904,0.000127074096314806,1.56477222438916,-1206.60402034319,-1206.52994626912,0.0382213064639494,-0.210027258491864,""
"79","2021-03-18_VI01_D1",-0.550078081784189,0.136426729757149,6.89930078847282e-05,1.53670944722711,-3746.37576481051,-3746.30123064902,0.000768523701810627,-0.218585381667856,""
"80","2021-03-18_VI01_D2",-0.0522597651610593,0.101070393544736,0.605462773421615,1.53558972122483,-3965.32042296345,-3965.24634888937,0.000570086458036679,-0.0286257376356325,""
"81","2021-03-18_VI01_R1",-25.8285931489991,0.27688765967599,1.31895638202383e-234,1.5570564424932,-3526.07626717447,-3526.00103206475,0.00102460997206773,-0.982050045378805,""
"82","2021-03-18_VI01_R2",-4.30898693764075,0.182309072873595,4.76817909387009e-73,1.55083543280244,-3875.68773559953,-3875.61478727126,0.00071424362719548,-0.792426866417549,""
"83","2021-03-18_VI01_R3",-42.353457932212,0.239381935637824,0,1.54410915778377,-3833.04855749219,-3832.97516299678,0.000735415269212137,-0.994786084696488,""
"84","2021-03-18_VI01_R4",-15.6353557925886,0.225321987265479,1.03543621892161e-197,1.53902679512392,-3882.38985009458,-3882.31600394074,0.000658664136101144,-0.967681624661209,""
"85","2021-03-18_VI01_R5",-36.6547657087437,0.200013213340456,0,1.53348472798393,-3953.44157626736,-3953.36795663546,0.000602120531895039,-0.995152326201846,""
"86","2021-03-19_AL03_A1",32.9640693600886,10.0712673775895,0.00117475173389249,1.57153976868482,-962.15712568868,-962.085053616608,0.0577058203162284,0.176034909972333,""
"87","2021-03-19_AL03_B1",7.47337071349668,17.5921033689956,0.671245848642934,1.5597018192049,-596.003129876381,-595.930840719755,0.0990835901061886,0.0232385072286829,""
"88","2021-03-19_AL03_C1",10.5126446343171,0.12218896559234,1.80299109659024e-230,1.53300454547488,-3936.44886808458,-3936.37679601251,0.000699396317374988,0.978111754644007,""
"89","2021-03-19_AL03_D1",120.427804462999,0.224466409896894,0,1.52791993331483,-3543.81293684591,-3543.74129505487,0.0012918341600905,0.999415118422166,""
"90","2021-03-19_AL03_E1",38.3672013950351,0.106145998591508,0,1.53278624880215,-4041.90617105928,-4041.83431477185,0.000608813823391252,0.998716607165158,""
"91","2021-03-19_AL03_E2",36.2707541436156,0.287715874629216,5.52453925286628e-285,1.53103457296701,-3369.31432339824,-3369.24246711081,0.00164660499236399,0.989593538177054,""
"92","2021-03-19_AL03_R1",-28.4494300488947,0.344595522365284,4.13078894525409e-226,1.52800261165656,-3601.3085565668,-3601.23712799537,0.00120550803328472,-0.976090942427876,""
"93","2021-03-19_AL03_R2",-5.97006127028068,4.42758157428876,0.17848393782319,1.52802316420432,-1734.9279081884,-1734.8529081884,0.0165319618439548,-0.0749310188852602,""
"94","2021-03-19_AL03_R3",-17.3350054771786,0.144748726717435,1.31177723480797e-274,1.53330348033641,-3978.69678933736,-3978.6238410091,0.000611892044968988,-0.988656666018297,""
"95","2021-03-19_AL03_R4",-17.1143475000015,0.449171114220181,3.41305790241183e-124,1.53453831874867,-3232.1911128061,-3232.11947101506,0.00204558179948181,-0.900889625186004,""
"96","2021-03-19_AL03_R5",-15.271820792053,0.145714496481174,1.34834560438723e-257,1.53749234281859,-3742.96001567896,-3742.88772652233,0.000916670020865255,-0.985134769523141,""
"97","2021-03-19_AL03_R6",-12.5994246411827,0.0880906746030244,1.05626591351678e-301,1.53554196659323,-4145.11464559938,-4145.04235644275,0.000503862378044844,-0.991935150320287,""
"98","2021-03-19_ME01_A1",5.37393180429326,0.146436930730948,2.7401162078835e-120,1.54007611300703,-3864.18754527048,-3864.11653935332,0.000846690870932813,0.893547692938377,""
"99","2021-03-19_ME01_B1",2.0426525890842,0.134762061116192,3.92429692091782e-40,1.53789755215586,-3975.88593525681,-3975.81596441133,0.000782015376389088,0.632248390300901,""
"100","2021-03-19_ME01_C1",5.06845702916704,0.124676458380003,7.52868698819309e-129,1.53851538966547,-3785.56285037741,-3785.48785037741,0.000698189650641262,0.914840790983939,""
"101","2021-03-19_ME01_D1",3.29378841689855,0.206617167040903,2.88250885195155e-42,1.53946785413348,-3381.48141589236,-3381.40399653752,0.00110288884176369,0.669993539469241,""
"102","2021-03-19_ME01_E1",3.19593387353358,0.0993309657760908,4.73028348013134e-103,1.54109488608167,-3964.1671952669,-3964.09289186133,0.000560622333975339,0.87239061358168,""
"103","2021-03-19_ME01_R1",-25.1217937539192,0.246254502543269,1.36220352316459e-257,1.53983059404989,-3848.00861568013,-3847.93781921996,0.000881308423986358,-0.984008988235656,""
"104","2021-03-19_ME01_R2",-3.78236581114591,0.108942578631006,5.10863373546704e-113,1.53822818303655,-4013.70229793463,-4013.63022586256,0.000623655558938953,-0.884604003579656,""
"105","2021-03-19_ME01_R3",-8.10073837326108,0.101229663149289,7.85919965367867e-217,1.53525043780037,-3973.31584906368,-3973.24200290984,0.000573655096712343,-0.975406030988739,""
"106","2021-03-19_ME01_R4",-53.6183274156024,6.65551945636569,1.58712635798583e-14,1.57229421026779,-1197.8310814634,-1197.75537168422,0.0372188539997593,-0.411169351318041,""
"107","2021-03-19_ME01_R5",-7.27813541116199,0.0903893008845971,5.06465999370279e-214,1.53737746645702,-3957.90612061876,-3957.83041083958,0.000505419327312038,-0.976271035926646,""
"108","2021-03-22_AL02_A1",68.0214981785383,0.237035010989234,0,1.5277529499352,-3024.68127945007,-3024.59271856446,0.000982295399231381,0.998346565085555,""
"109","2021-03-22_AL02_B1",146.237082060011,0.268076373507847,0,1.53452886563459,-3498.9827492427,-3498.91277839722,0.00155472628491879,0.999420819777043,""
"110","2021-03-22_AL02_C1",166.990325776056,0.28819895581936,0,1.5191066747705,-3294.71290027799,-3294.63928064609,0.00163358357987214,0.999511878477985,""
"111","2021-03-22_AL02_D1",83.100825105505,8.20463228484024,3.83238880854194e-21,1.50643078066926,-1088.45623278401,-1088.38215870993,0.0457639404982958,0.489245348800573,""
"112","2021-03-22_AL02_E1",104.320414380461,0.173166049884665,0,1.51551929951016,-3633.53934712828,-3633.46572749638,0.000977656118906159,0.99954841814326,""
"113","2021-03-22_AL02_F1",137.152317857799,0.235243384325542,0,1.51848393337248,-3514.47600472833,-3514.40436293729,0.00134895854885603,0.999504657422623,""
"114","2021-03-22_AL02_R1",-14.9099237941287,0.26141181402865,2.08349088035127e-177,1.52434433046329,-3871.32882194207,-3871.25864650347,0.000894615709597338,-0.950982653327101,""
"115","2021-03-22_AL02_R2",-14.6597010713792,0.0889897654156652,0,1.52127825274027,-4347.61684302418,-4347.54787750694,0.00050034917339211,-0.993613077259699,""
"116","2021-03-22_AL02_R3",-40.2414999165711,0.223281206034773,0,1.51855110187009,-3950.88538304915,-3950.81243472088,0.000637984978338521,-0.994943497236106,""
"117","2021-03-22_AL02_R4",-16.9429924652871,0.216139886875717,5.25904512636731e-218,1.5188716600261,-3900.47836864582,-3900.4065123584,0.000750489182854636,-0.973732431447876,""
"118","2021-03-22_AL02_R5",-11.5660778995738,0.0802221245279922,3.72003021504285e-302,1.51435780428684,-4196.2979929074,-4196.22548535453,0.000458279604998683,-0.992085012462308,""
"119","2021-03-22_AL02_R6",-6.87871664917949,0.311170577431204,4.41721909522432e-67,1.51575825616776,-3523.9857148111,-3523.91254407939,0.0011919544521186,-0.77259843913268,""
"120","2021-03-22_RO01_A1",1.66424097980574,0.162801996290879,1.80949925399685e-21,1.51532513816653,-3662.71919468169,-3662.64534852785,0.000919711219160043,0.492114869499526,""
"121","2021-03-22_RO01_B1",2.15502740232449,0.120660733342474,3.43032502384301e-50,1.5168287025684,-3836.19414943229,-3836.11984602671,0.000681792198726175,0.703798141345724,""
"122","2021-03-22_RO01_C1",1.84497938951248,0.405627906468362,7.72924733351051e-06,1.52110463123268,-2981.86304869608,-2981.78612561916,0.00214761935830846,0.24862417090395,""
"123","2021-03-22_RO01_D1",2.40334906948084,0.0890777313841474,1.03674777133474e-86,1.52575118764692,-4228.6080113178,-4228.53742308251,0.000515189080607547,0.824836845160195,""
"124","2021-03-22_RO01_E1",3.02823801069422,0.0768737434478477,6.30994897786805e-130,1.52834011144577,-4375.083705224,-4375.01393778214,0.000448000066613798,0.904256371269893,""
"125","2021-03-22_RO01_F1",3.07540623266192,0.0756328691947973,1.91140396550762e-133,1.53168902975649,-4363.84905605674,-4363.77888061814,0.000439070419437839,0.909823083927436,""
"126","2021-03-22_RO01_R1",-7.40458077353244,0.522679410053767,3.00771667000924e-36,1.51444895397383,-3044.28995912021,-3044.22019167835,0.00303162288624957,-0.605889887763721,""
"127","2021-03-22_RO01_R2",97.7885032649379,16.4297376882227,6.75346705700035e-09,1.48998068319488,-858.432288809216,-858.359340480949,0.0662796176269694,0.310931272659498,""
"128","2021-03-22_RO01_R3",-9.6093765667616,0.186814435889986,8.70851619510167e-161,1.51900069613698,-4025.31225859156,-4025.23996943493,0.000602194530194165,-0.942292319701673,""
"129","2021-03-22_RO01_R4",-5.96759991596385,0.206840715270176,2.71690512388392e-93,1.52400722516947,-3971.78743122676,-3971.71621460955,0.000711218943170689,-0.842971206793336,""
"130","2021-03-22_RO01_R5",-1.37000116586068,4.32492376898629,0.751612831388548,1.52514806761606,-1563.21290665325,-1563.14211019308,0.0246372212781595,-0.0171514721311008,""
